# frequency channel 204 = 159.3750 MHz
# all phases in degrees 
# ANT AMP_XX PHASE_XX AMP_YY PHASE_YY AMP_XY PHASE_XY AMP_YX PHASE_YX
89 33.641 17.878 28.607 17.878 0.00 0.00 0.00 0.00
90 65.954 43.545 37.112 43.545 0.00 0.00 0.00 0.00
91 41.111 23.158 39.339 23.158 0.00 0.00 0.00 0.00
92 107.716 40.373 73.280 40.373 0.00 0.00 0.00 0.00
93 30.154 -17.251 30.449 -17.251 0.00 0.00 0.00 0.00
94 37.835 -35.815 32.303 -35.815 0.00 0.00 0.00 0.00
95 21.228 25.149 19.258 25.149 0.00 0.00 0.00 0.00
96 25.184 68.306 28.305 68.306 0.00 0.00 0.00 0.00
97 27.879 42.631 24.217 42.631 0.00 0.00 0.00 0.00
98 30.087 -16.454 31.592 -16.454 0.00 0.00 0.00 0.00
99 35.280 -1.674 24.556 -1.674 0.00 0.00 0.00 0.00
100 27.520 -37.702 23.073 -37.702 0.00 0.00 0.00 0.00
101 55.210 -17.575 27.496 -17.575 0.00 0.00 0.00 0.00
102 70.941 4.983 31.331 4.983 0.00 0.00 0.00 0.00
103 48.259 44.014 27.929 44.014 0.00 0.00 0.00 0.00
104 45.534 27.516 40.629 27.516 0.00 0.00 0.00 0.00
105 48.420 2.145 31.160 2.145 0.00 0.00 0.00 0.00
106 36.233 34.370 39.513 34.370 0.00 0.00 0.00 0.00
107 26.003 10.914 26.913 10.914 0.00 0.00 0.00 0.00
108 25.790 -2.356 27.033 -2.356 0.00 0.00 0.00 0.00
109 43.331 59.216 28.718 59.216 0.00 0.00 0.00 0.00
110 52.327 18.684 31.005 18.684 0.00 0.00 0.00 0.00
111 29.171 22.288 25.795 22.288 0.00 0.00 0.00 0.00
112 28.012 34.013 37.384 34.013 0.00 0.00 0.00 0.00
113 35.546 25.563 27.000 25.563 0.00 0.00 0.00 0.00
114 39.945 19.083 24.803 19.083 0.00 0.00 0.00 0.00
115 22.404 13.245 30.404 13.245 0.00 0.00 0.00 0.00
116 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
117 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
118 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
119 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
120 38.081 -21.702 31.843 -21.702 0.00 0.00 0.00 0.00
121 47.895 37.993 57.707 37.993 0.00 0.00 0.00 0.00
122 33.618 1.571 21.244 1.571 0.00 0.00 0.00 0.00
123 46.091 -5.180 27.786 -5.180 0.00 0.00 0.00 0.00
124 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
125 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
126 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
127 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
128 35.798 7.550 44.346 7.550 0.00 0.00 0.00 0.00
129 40.594 19.443 25.135 19.443 0.00 0.00 0.00 0.00
130 34.869 27.849 27.471 27.849 0.00 0.00 0.00 0.00
131 32.014 21.782 23.981 21.782 0.00 0.00 0.00 0.00
132 35.396 16.557 26.743 16.557 0.00 0.00 0.00 0.00
133 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
134 37.789 29.072 25.008 29.072 0.00 0.00 0.00 0.00
135 38.151 22.626 24.906 22.626 0.00 0.00 0.00 0.00
136 61.948 -10.687 51.817 -10.687 0.00 0.00 0.00 0.00
137 33.940 18.721 26.599 18.721 0.00 0.00 0.00 0.00
138 57.063 28.496 28.318 28.496 0.00 0.00 0.00 0.00
139 23.450 -10.303 24.646 -10.303 0.00 0.00 0.00 0.00
140 29.915 22.714 26.521 22.714 0.00 0.00 0.00 0.00
141 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
142 34.269 -17.504 26.754 -17.504 0.00 0.00 0.00 0.00
143 29.963 -15.475 30.650 -15.475 0.00 0.00 0.00 0.00
144 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
145 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
146 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
147 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
148 30.973 55.011 24.943 55.011 0.00 0.00 0.00 0.00
149 43.478 31.552 25.165 31.552 0.00 0.00 0.00 0.00
150 28.750 30.635 30.389 30.635 0.00 0.00 0.00 0.00
151 34.171 46.814 29.452 46.814 0.00 0.00 0.00 0.00
152 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
153 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
154 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
155 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
156 24.438 5.153 24.309 5.153 0.00 0.00 0.00 0.00
157 29.277 30.965 24.348 30.965 0.00 0.00 0.00 0.00
158 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
159 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
160 42.008 -45.168 26.497 -45.168 0.00 0.00 0.00 0.00
161 28.300 -36.123 24.538 -36.123 0.00 0.00 0.00 0.00
162 31.017 -30.210 68.022 -30.210 0.00 0.00 0.00 0.00
